iata;tz
ORN;Africa/Algiers
ORY;Europe/Paris
OSL;Europe/Oslo
OSR;Europe/Prague
OSS;Asia/Bishkek
OTP;Europe/Bucharest
OUA;Africa/Ouagadougou
OVA;Indian/Antananarivo
OVB;Asia/Krasnoyarsk
OVD;Europe/Madrid
PAP;America/Port-au-Prince
PBC;America/Mexico_City
PBI;America/New_York
PBM;America/Paramaribo
PDG;Asia/Jakarta
PDP;America/Montevideo
PDX;America/Los_Angeles
PEE;Asia/Yekaterinburg
PEK;Asia/Shanghai
PEN;Asia/Kuala_Lumpur
PER;Australia/Perth
PEW;Asia/Karachi
PGF;Europe/Paris
PGK;Asia/Jakarta
PHF;America/New_York
PHL;America/New_York
PHX;America/Phoenix
PIA;America/Chicago
PIH;America/Denver
PIS;Europe/Paris
PIT;America/New_York
PKC;Asia/Anadyr
PKU;Asia/Jakarta
PKY;Asia/Jakarta
PLM;Asia/Jakarta
PLW;Asia/Makassar
PMI;Europe/Madrid
PMO;Europe/Rome
PNH;Asia/Phnom_Penh
PNK;Asia/Jakarta
PNR;Africa/Brazzaville
PNS;America/Chicago
POL;Africa/Maputo
PPT;Pacific/Tahiti
PQC;Asia/Saigon
PRA;America/Cordoba
PRG;Europe/Prague
PSA;Europe/Rome
PSC;America/Los_Angeles
PSP;America/Los_Angeles
PSR;Europe/Rome
PSS;America/Cordoba
PSU;Asia/Jakarta
PTP;America/Guadeloupe
PTY;America/Panama
PUF;Europe/Paris
PUJ;America/Santo_Domingo
PVD;America/New_York
PVG;Asia/Shanghai
PVR;America/Mexico_City
PWM;America/New_York
PXU;Asia/Saigon
PZI;Asia/Shanghai
QRO;America/Mexico_City
QSZ;\N
RAE;Asia/Riyadh
RAH;Asia/Riyadh
RAK;Africa/Casablanca
RAP;America/Denver
RBA;Africa/Casablanca
RDM;America/Los_Angeles
RDU;America/New_York
REA;\N
REC;America/Fortaleza
REG;Europe/Rome
REL;America/Catamarca
REN;Asia/Yekaterinburg
REP;Asia/Phnom_Penh
RES;America/Cordoba
REX;America/Mexico_City
RGN;Asia/Rangoon
RIC;America/New_York
RIX;Europe/Riga
RIZ;\N
RKZ;Asia/Shanghai
RMF;Africa/Cairo
